,date,count,temperatureChange,temperature
556,2011-05-01,48,0.53,14.53
557,2011-06-01,43,0.59,14.59
558,2011-07-01,63,0.74,14.74
559,2011-08-01,51,0.73,14.73
560,2011-09-01,40,0.56,14.56
561,2011-10-01,37,0.66,14.66
562,2011-11-01,40,0.56,14.56
563,2011-12-01,28,0.54,14.54
564,2012-01-01,31,0.46,14.46
565,2012-02-01,38,0.49,14.49
566,2012-03-01,33,0.58,14.58
567,2012-04-01,58,0.69,14.69
568,2012-05-01,33,0.76,14.76
569,2012-06-01,37,0.62,14.62
570,2012-07-01,34,0.56,14.56
571,2012-08-01,38,0.63,14.63
572,2012-09-01,31,0.76,14.76
573,2012-10-01,40,0.77,14.77
574,2012-11-01,41,0.75,14.75
575,2012-12-01,31,0.52,14.52
576,2013-01-01,23,0.68,14.68
577,2013-02-01,82,0.55,14.55
578,2013-03-01,28,0.66,14.66
579,2013-04-01,41,0.52,14.52
580,2013-05-01,44,0.61,14.61
581,2013-06-01,30,0.65,14.65
582,2013-07-01,36,0.59,14.59
583,2013-08-01,33,0.66,14.66
584,2013-09-01,39,0.78,14.78
585,2013-10-01,32,0.69,14.69
586,2013-11-01,43,0.81,14.81
587,2013-12-01,30,0.66,14.66
588,2014-01-01,24,0.73,14.73
589,2014-02-01,29,0.52,14.52
590,2014-03-01,50,0.77,14.77
591,2014-04-01,68,0.78,14.78
592,2014-05-01,56,0.86,14.86
593,2014-06-01,44,0.65,14.65
594,2014-07-01,41,0.57,14.57
595,2014-08-01,34,0.82,14.82
596,2014-09-01,31,0.9,14.9
597,2014-10-01,34,0.85,14.85
598,2014-11-01,37,0.67,14.67
599,2014-12-01,32,0.79,14.79
600,2015-01-01,25,0.82,14.82
601,2015-02-01,33,0.86,14.86
602,2015-03-01,35,0.9,14.9
603,2015-04-01,30,0.74,14.74
604,2015-05-01,46,0.77,14.77
605,2015-06-01,31,0.77,14.77
606,2015-07-01,40,0.71,14.71
607,2015-08-01,33,0.78,14.78
608,2015-09-01,66,0.81,14.81
609,2015-10-01,28,1.06,15.06
610,2015-11-01,52,0.99,14.99
611,2015-12-01,27,1.09,15.09
612,2016-01-01,37,1.13,15.129999999999999
613,2016-02-01,24,1.31,15.31
614,2016-03-01,30,1.28,15.28
615,2016-04-01,57,1.07,15.07
616,2016-05-01,30,0.93,14.93
617,2016-06-01,41,0.78,14.78
618,2016-07-01,36,0.83,14.83
619,2016-08-01,35,0.99,14.99
620,2016-09-01,46,0.88,14.88
621,2016-10-01,36,0.88,14.88
622,2016-11-01,44,0.87,14.87
623,2016-12-01,53,0.79,14.79
