,Classifier,F2-Score,BestParameters,FeatureNumber,Normalized,PCA,PCAComponents
194,Decission Tree,0.3164714073804983,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3}",9,False,True,3
195,AdaBoost,0.2858058802114746,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 2}",9,False,True,3
196,Random Forest,0.22086247086247088,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",9,False,True,3
197,k-Nearest Neighbors,0.13270820089001906,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",9,True,True,3
198,Naive Bayes,0.29390054390054393,{},9,False,False,1
199,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",9,True,False,1
200,Decission Tree,0.35749099385463023,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",9,False,False,1
201,AdaBoost,0.41829382738473647,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",9,False,False,1
202,Random Forest,0.36363636363636365,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 1}",9,False,False,1
203,k-Nearest Neighbors,0.0815850815850816,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",9,True,False,1
204,Naive Bayes,0.29390054390054393,{},9,False,False,2
205,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",9,True,False,2
206,Decission Tree,0.385092180546726,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",9,False,False,2
207,AdaBoost,0.42056661287430513,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 2}",9,False,False,2
208,Random Forest,0.35614890160344703,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 5}",9,False,False,2
209,k-Nearest Neighbors,0.0815850815850816,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",9,True,False,2
210,Naive Bayes,0.29390054390054393,{},9,False,False,3
211,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",9,True,False,3
212,Decission Tree,0.35749099385463023,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",9,False,False,3
213,AdaBoost,0.33264462809917356,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'best', 'n_estimators': 2}",9,False,False,3
214,Random Forest,0.33661792752701847,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",9,False,False,3
215,k-Nearest Neighbors,0.0815850815850816,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",9,True,False,3
